 ____________________________
|    Output 	|	Duplicates  |
|_____________|_____________|
|			0				|			6				|
|			1				|			17			|
|			2				|			6				|
|			3				|			10			|
|			4				|			8				|
|			5				|			14			|
|			6				|			12			|
|			7				|			14			|
|			8				|			11			|
|			9				|			8				|
|			10			|			9				|
|			11			|			10			|
|			12			|			3				|
|			13			|			7				|
|			14			|			7				|
|			15			|			8				|
|			16			|			3				|
|			17			|			5				|
|			18			|			7				|
|			19			|			12			|
|			20			|			12			|
|			21			|			12			|
|			22			|			9				|
|			23			|			9				|
|			24			|			4				|
|			25			|			8				|
|			26			|			11			|
|			27			|			10			|
|			28			|			9				|
|			29			|			7				|
|			30			|			7				|
|			31			|			10			|
|			32			|			9				|
|			33			|			6				|
|			34			|			7				|
|			35			|			7				|
|			36			|			6				|
|			37			|			8				|
|			38			|			9				|
|			39			|			9				|
|			40			|			13			|
|			41			|			10			|
|			42			|			6				|
|			43			|			7				|
|			44			|			8				|
|			45			|			8				|
|			46			|			10			|
|			47			|			8				|
|			48			|			9				|
|			49			|			6				|
|			50			|			4				|
|			51			|			9				|
|			52			|			10			|
|			53			|			12			|
|			54			|			13			|
|			55			|			8				|
|			56			|			9				|
|			57			|			9				|
|			58			|			10			|
|			59			|			9				|
|			60			|			12			|
|			61			|			9				|
|			62			|			7				|
|			63			|			14			|
|			64			|			7				|
|			65			|			17			|
|			66			|			10			|
|			67			|			11			|
|			68			|			13			|
|			69			|			9				|
|			70			|			9				|
|			71			|			4				|
|			72			|			12			|
|			73			|			5				|
|			74			|			10			|
|			75			|			12			|
|			76			|			11			|
|			77			|			10			|
|			78			|			4				|
|			79			|			16			|
|			80			|			5				|
|			81			|			14			|
|			82			|			7				|
|			83			|			4				|
|			84			|			8				|
|			85			|			6				|
|			86			|			10			|
|			87			|			7				|
|			88			|			7				|
|			89			|			10			|
|			90			|			7				|
|			91			|			14			|
|			92			|			6				|
|			93			|			11			|
|			94			|			7				|
|			95			|			7				|
|			96			|			4				|
|			97			|			10			|
|			98			|			11			|
|			99			|			15			|
|			100			|			3				|
|___________________________|---> Total Duplicates: 899

Total Comparisons:
   Writing Out Tree = 100
     Building Tree = 6678
